keyid,dtype,vars,block,decl,varscop,constr,opaspr,arith,assgn,constl,logrel,exprn,ampas,sequen,itcpt,selcpt,funcs,pasaddr,funcpar,funcpro,nestit,multi,init,incdcr,countit,eventit,switch,fncdef,exitlp,return,break,conti,ifelse,callfnc,stdio,lrvalue,scanf,printf,ifseri,elseif,beflp,endlp,default,prepost
Known,Known,Known,,,,,,Known,Known,Known,Known,Known,,Known,,,,,,,,Known,,,,,NotKnown,,,,,,Known,,,,Known,Known,Known,Known,,,,
Known,Known,Known,,,,,,NotKnown,Known,Known,Known,NotKnown,,Known,,,,,,,,Known,,,,,NotKnown,,,,,,Known,,,,Known,Known,Known,Known,,,,
Known,Known,Known,,,,,,Known,Known,Known,Known,Known,,Known,,,,,,,,Known,,,,,Known,,,,,,Known,,,,Known,Known,Known,Known,,,,
Known,Known,Known,,,,,,NotKnown,Known,Known,Known,NotKnown,,Known,,,,,,,,Known,,,,,NotKnown,,,,,,Known,,,,Known,NotKnown,NotKnown,NotKnown,,,,
Known,Known,Known,,,,,,NotKnown,NotKnown,Known,NotKnown,Known,,Known,,,,,,,,Known,,,,,NotKnown,,,,,,Known,,,,Known,Known,NotKnown,Known,,,,
Known,Known,Known,,,,,,Known,Known,Known,Known,NotKnown,,Known,,,,,,,,Known,,,,,NotKnown,,,,,,NotKnown,,,,Known,Known,Known,NotKnown,,,,
Known,Known,Known,,,,,,Known,Known,Known,Known,Known,,Known,,,,,,,,Known,,,,,NotKnown,,,,,,NotKnown,,,,Known,NotKnown,Known,Known,,,,
Known,Known,Known,,,,,,Known,NotKnown,Known,NotKnown,NotKnown,,Known,,,,,,,,Known,,,,,NotKnown,,,,,,Known,,,,Known,Known,Known,Known,,,,
Known,Known,Known,,,,,,NotKnown,NotKnown,Known,NotKnown,Known,,NotKnown,,,,,,,,Known,,,,,NotKnown,,,,,,Known,,,,Known,Known,NotKnown,NotKnown,,,,
Known,Known,Known,,,,,,NotKnown,Known,Known,Known,Known,,Known,,,,,,,,Known,,,,,NotKnown,,,,,,Known,,,,Known,Known,Known,Known,,,,
Known,Known,Known,,,,,,Known,Known,Known,Known,Known,,Known,,,,,,,,Known,,,,,NotKnown,,,,,,Known,,,,Known,Known,Known,Known,,,,
Known,Known,Known,,,,,,Known,Known,Known,Known,Known,,Known,,,,,,,,Known,,,,,Known,,,,,,Known,,,,Known,Known,Known,Known,,,,
Known,NotKnown,Known,,,,,,NotKnown,NotKnown,Known,Known,Known,,Known,,,,,,,,Known,,,,,NotKnown,,,,,,Known,,,,Known,Known,Known,Known,,,,
Known,Known,Known,,,,,,NotKnown,NotKnown,Known,NotKnown,NotKnown,,Known,,,,,,,,NotKnown,,,,,NotKnown,,,,,,Known,,,,Known,Known,NotKnown,NotKnown,,,,
Known,Known,Known,,,,,,Known,Known,Known,Known,Known,,Known,,,,,,,,Known,,,,,NotKnown,,,,,,Known,,,,Known,Known,Known,Known,,,,
Known,Known,Known,,,,,,NotKnown,Known,Known,Known,NotKnown,,Known,,,,,,,,Known,,,,,NotKnown,,,,,,Known,,,,Known,Known,NotKnown,Known,,,,
NotKnown,NotKnown,Known,,,,,,NotKnown,NotKnown,Known,NotKnown,NotKnown,,NotKnown,,,,,,,,Known,,,,,NotKnown,,,,,,Known,,,,Known,Known,NotKnown,Known,,,,
Known,Known,Known,,,,,,Known,Known,Known,Known,Known,,Known,,,,,,,,Known,,,,,NotKnown,,,,,,Known,,,,Known,Known,Known,Known,,,,
Known,Known,Known,,,,,,Known,Known,Known,Known,Known,,Known,,,,,,,,Known,,,,,NotKnown,,,,,,Known,,,,Known,NotKnown,Known,Known,,,,
Known,Known,Known,,,,,,NotKnown,NotKnown,Known,NotKnown,NotKnown,,Known,,,,,,,,Known,,,,,NotKnown,,,,,,Known,,,,Known,Known,NotKnown,Known,,,,
Known,Known,Known,,,,,,Known,NotKnown,Known,NotKnown,NotKnown,,Known,,,,,,,,Known,,,,,NotKnown,,,,,,Known,,,,Known,NotKnown,NotKnown,NotKnown,,,,
Known,Known,Known,,,,,,Known,NotKnown,Known,NotKnown,Known,,Known,,,,,,,,Known,,,,,NotKnown,,,,,,Known,,,,Known,NotKnown,NotKnown,NotKnown,,,,
NotKnown,Known,Known,,,,,,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,,Known,,,,,,,,Known,,,,,NotKnown,,,,,,Known,,,,Known,Known,Known,Known,,,,
NotKnown,NotKnown,NotKnown,,,,,,NotKnown,NotKnown,Known,NotKnown,NotKnown,,Known,,,,,,,,Known,,,,,NotKnown,,,,,,Known,,,,NotKnown,Known,NotKnown,NotKnown,,,,
Known,Known,Known,,,,,,Known,Known,Known,Known,Known,,Known,,,,,,,,Known,,,,,NotKnown,,,,,,NotKnown,,,,Known,Known,Known,Known,,,,
Known,Known,Known,,,,,,NotKnown,Known,Known,Known,NotKnown,,Known,,,,,,,,Known,,,,,Known,,,,,,Known,,,,Known,Known,Known,Known,,,,
Known,Known,Known,,,,,,Known,Known,Known,Known,Known,,Known,,,,,,,,Known,,,,,NotKnown,,,,,,Known,,,,Known,Known,Known,Known,,,,
Known,Known,Known,,,,,,Known,Known,Known,Known,Known,,Known,,,,,,,,Known,,,,,NotKnown,,,,,,Known,,,,Known,Known,NotKnown,Known,,,,
Known,Known,Known,,,,,,Known,Known,Known,Known,Known,,Known,,,,,,,,Known,,,,,NotKnown,,,,,,Known,,,,Known,Known,Known,Known,,,,
Known,Known,Known,,,,,,Known,Known,Known,Known,Known,,Known,,,,,,,,Known,,,,,NotKnown,,,,,,Known,,,,Known,Known,Known,Known,,,,
NotKnown,Known,Known,,,,,,NotKnown,NotKnown,Known,NotKnown,NotKnown,,Known,,,,,,,,Known,,,,,NotKnown,,,,,,Known,,,,NotKnown,Known,Known,Known,,,,
Known,Known,Known,,,,,,NotKnown,NotKnown,Known,NotKnown,NotKnown,,NotKnown,,,,,,,,Known,,,,,NotKnown,,,,,,Known,,,,Known,NotKnown,Known,Known,,,,
Known,Known,Known,,,,,,Known,Known,Known,Known,Known,,Known,,,,,,,,Known,,,,,NotKnown,,,,,,Known,,,,Known,Known,Known,Known,,,,
Known,Known,Known,,,,,,NotKnown,Known,Known,NotKnown,NotKnown,,Known,,,,,,,,Known,,,,,NotKnown,,,,,,Known,,,,Known,NotKnown,Known,Known,,,,
Known,Known,Known,,,,,,NotKnown,NotKnown,Known,NotKnown,NotKnown,,Known,,,,,,,,Known,,,,,NotKnown,,,,,,Known,,,,Known,Known,NotKnown,NotKnown,,,,
Known,Known,Known,,,,,,Known,Known,Known,Known,Known,,Known,,,,,,,,Known,,,,,NotKnown,,,,,,Known,,,,Known,Known,Known,Known,,,,
Known,NotKnown,Known,,,,,,NotKnown,NotKnown,Known,NotKnown,NotKnown,,Known,,,,,,,,Known,,,,,NotKnown,,,,,,Known,,,,NotKnown,NotKnown,Known,Known,,,,
Known,Known,Known,,,,,,Known,NotKnown,Known,NotKnown,Known,,Known,,,,,,,,Known,,,,,NotKnown,,,,,,Known,,,,Known,Known,NotKnown,Known,,,,
Known,Known,Known,,,,,,NotKnown,NotKnown,Known,NotKnown,NotKnown,,NotKnown,,,,,,,,Known,,,,,NotKnown,,,,,,Known,,,,Known,Known,NotKnown,Known,,,,
Known,Known,Known,,,,,,Known,Known,Known,Known,Known,,Known,,,,,,,,Known,,,,,Known,,,,,,Known,,,,Known,Known,Known,Known,,,,
Known,Known,Known,,,,,,Known,Known,Known,Known,Known,,Known,,,,,,,,Known,,,,,NotKnown,,,,,,Known,,,,Known,Known,NotKnown,Known,,,,
Known,Known,Known,,,,,,Known,Known,Known,Known,Known,,Known,,,,,,,,Known,,,,,NotKnown,,,,,,Known,,,,Known,Known,Known,Known,,,,
Known,Known,Known,,,,,,Known,Known,Known,Known,Known,,Known,,,,,,,,Known,,,,,NotKnown,,,,,,Known,,,,Known,Known,Known,Known,,,,
Known,Known,Known,,,,,,Known,Known,Known,Known,Known,,Known,,,,,,,,Known,,,,,NotKnown,,,,,,Known,,,,Known,Known,Known,Known,,,,
Known,Known,Known,,,,,,Known,Known,Known,Known,Known,,Known,,,,,,,,Known,,,,,NotKnown,,,,,,Known,,,,Known,Known,Known,Known,,,,
Known,Known,Known,,,,,,Known,Known,Known,Known,Known,,Known,,,,,,,,Known,,,,,NotKnown,,,,,,Known,,,,Known,Known,Known,Known,,,,
Known,Known,Known,,,,,,Known,Known,Known,NotKnown,Known,,Known,,,,,,,,Known,,,,,NotKnown,,,,,,Known,,,,Known,Known,Known,Known,,,,
Known,Known,Known,,,,,,Known,NotKnown,Known,NotKnown,Known,,Known,,,,,,,,Known,,,,,NotKnown,,,,,,Known,,,,Known,Known,Known,Known,,,,
Known,Known,Known,,,,,,Known,Known,Known,Known,Known,,Known,,,,,,,,Known,,,,,NotKnown,,,,,,Known,,,,Known,Known,Known,Known,,,,
Known,Known,Known,,,,,,NotKnown,Known,Known,Known,NotKnown,,Known,,,,,,,,Known,,,,,Known,,,,,,Known,,,,Known,Known,Known,Known,,,,
Known,Known,Known,,,,,,NotKnown,NotKnown,Known,NotKnown,NotKnown,,Known,,,,,,,,Known,,,,,NotKnown,,,,,,Known,,,,Known,NotKnown,Known,Known,,,,
Known,Known,Known,,,,,,NotKnown,Known,Known,Known,NotKnown,,Known,,,,,,,,Known,,,,,NotKnown,,,,,,Known,,,,Known,Known,Known,Known,,,,
Known,Known,Known,,,,,,Known,Known,Known,Known,Known,,Known,,,,,,,,Known,,,,,Known,,,,,,Known,,,,Known,Known,Known,Known,,,,
